latitude,longitude,order_id,demand
19.0760,72.8777,ORD-006,4
19.2183,72.9781,ORD-007,7
19.0330,73.0297,ORD-008,2
19.1075,72.8263,ORD-009,6
19.1828,72.9633,ORD-010,3
19.0450,72.7500,ORD-016,5
19.2600,72.8100,ORD-017,8
19.1100,73.1000,ORD-018,6
19.2200,72.8650,ORD-019,4
19.0200,72.9600,ORD-020,7
19.1700,72.7400,ORD-021,3
19.0600,73.1200,ORD-022,9
19.2700,72.9800,ORD-023,2
19.1400,72.8100,ORD-024,5
18.9800,72.8300,ORD-025,6
19.1900,73.0700,ORD-026,4
19.0350,72.7200,ORD-027,7
19.2450,72.9100,ORD-028,3
19.0900,72.9800,ORD-029,8
19.1550,73.0900,ORD-030,5
19.2800,72.8500,ORD-031,6
18.9600,72.9200,ORD-032,4
19.2100,73.0300,ORD-033,7
19.1200,72.7600,ORD-034,3
19.0500,73.0500,ORD-035,5
19.1850,72.8400,ORD-036,8
19.0050,72.8900,ORD-037,2
19.2350,73.0600,ORD-038,6
19.1650,72.9400,ORD-039,4
19.0750,72.7800,ORD-040,9
